
> frontend@0.1.0 dev
> next dev

▲ Next.js 16.2.2 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.56.1:3000
- Environments: .env.local
✓ Ready in 481ms

 GET /login 200 in 318ms (next.js: 143ms, application-code: 175ms)
 GET /login 200 in 47ms (next.js: 4ms, application-code: 43ms)
 GET /login 200 in 51ms (next.js: 4ms, application-code: 47ms)
 GET /student 200 in 57ms (next.js: 36ms, application-code: 22ms)
 GET /student 200 in 68ms (next.js: 4ms, application-code: 64ms)
 GET /student/jobs 200 in 542ms (next.js: 504ms, application-code: 38ms)
 GET /student/applications 200 in 424ms (next.js: 378ms, application-code: 46ms)
 GET /student/skills 200 in 357ms (next.js: 294ms, application-code: 63ms)
 GET /student/settings 200 in 332ms (next.js: 293ms, application-code: 38ms)
 GET /login 200 in 38ms (next.js: 3ms, application-code: 35ms)
 GET /recruiter/dashboard 200 in 318ms (next.js: 297ms, application-code: 21ms)
 GET /recruiter/dashboard 200 in 41ms (next.js: 3ms, application-code: 38ms)
 GET /recruiter/jobs 200 in 409ms (next.js: 342ms, application-code: 66ms)
 GET /recruiter/applications 200 in 370ms (next.js: 328ms, application-code: 42ms)
 GET /recruiter/analytics 200 in 359ms (next.js: 322ms, application-code: 38ms)
 GET /recruiter/users 200 in 321ms (next.js: 280ms, application-code: 41ms)
 GET /recruiter/settings 200 in 353ms (next.js: 312ms, application-code: 41ms)
 GET /recruiter/onboarding 200 in 341ms (next.js: 289ms, application-code: 52ms)
 GET /recruiter/jobs 200 in 43ms (next.js: 3ms, application-code: 40ms)
 GET /recruiter/applications 200 in 36ms (next.js: 3ms, application-code: 33ms)
 GET /login 200 in 38ms (next.js: 3ms, application-code: 35ms)
 GET /staff 200 in 376ms (next.js: 356ms, application-code: 20ms)
 GET /staff 200 in 39ms (next.js: 3ms, application-code: 36ms)
 GET /staff/candidates 200 in 342ms (next.js: 300ms, application-code: 42ms)
 GET /staff/jobs 200 in 324ms (next.js: 286ms, application-code: 38ms)
 GET /staff/verification 200 in 338ms (next.js: 302ms, application-code: 36ms)
 GET /staff/analytics 200 in 332ms (next.js: 292ms, application-code: 40ms)
 GET /staff/settings 200 in 347ms (next.js: 301ms, application-code: 46ms)
 GET /register 200 in 88ms (next.js: 42ms, application-code: 46ms)
✓ Compiled in 68ms
 GET /register 200 in 216ms (next.js: 90ms, application-code: 126ms)
 GET /recruiter/dashboard 200 in 29ms (next.js: 4ms, application-code: 25ms)
 GET /login 200 in 50ms (next.js: 15ms, application-code: 36ms)
 GET /staff 200 in 21ms (next.js: 4ms, application-code: 17ms)
 GET /staff/verification 200 in 153ms (next.js: 54ms, application-code: 99ms)
 GET /register 200 in 43ms (next.js: 4ms, application-code: 39ms)
 GET /recruiter/dashboard 200 in 21ms (next.js: 3ms, application-code: 18ms)
 GET /login 200 in 40ms (next.js: 3ms, application-code: 37ms)
 GET /staff 200 in 19ms (next.js: 3ms, application-code: 16ms)
 GET /staff/verification 200 in 39ms (next.js: 2ms, application-code: 37ms)
 GET /staff/verification 200 in 48ms (next.js: 3ms, application-code: 45ms)
 GET /staff/verification 200 in 37ms (next.js: 3ms, application-code: 35ms)
 GET /login 200 in 38ms (next.js: 3ms, application-code: 35ms)
 GET /login 200 in 42ms (next.js: 3ms, application-code: 39ms)
 GET /login 200 in 49ms (next.js: 4ms, application-code: 45ms)
 GET /register 200 in 25ms (next.js: 4ms, application-code: 21ms)
 GET /login 200 in 34ms (next.js: 3ms, application-code: 31ms)
 GET /login 200 in 50ms (next.js: 4ms, application-code: 46ms)
 GET /register 200 in 30ms (next.js: 3ms, application-code: 27ms)
 GET /student 200 in 23ms (next.js: 4ms, application-code: 19ms)
 GET /student/jobs 200 in 20ms (next.js: 5ms, application-code: 15ms)
 GET /student 200 in 20ms (next.js: 3ms, application-code: 17ms)
 GET /student/jobs 200 in 17ms (next.js: 3ms, application-code: 13ms)
 GET /student 200 in 18ms (next.js: 3ms, application-code: 15ms)
 GET /student 200 in 44ms (next.js: 4ms, application-code: 41ms)
 GET /student/jobs 200 in 25ms (next.js: 3ms, application-code: 21ms)
 GET /student/jobs 200 in 18ms (next.js: 3ms, application-code: 15ms)
 GET /student/jobs 200 in 19ms (next.js: 3ms, application-code: 15ms)
 GET /student/jobs 200 in 18ms (next.js: 3ms, application-code: 15ms)
 GET /student/jobs 200 in 19ms (next.js: 3ms, application-code: 16ms)
 GET /student 200 in 16ms (next.js: 3ms, application-code: 13ms)
 GET /student/jobs 200 in 20ms (next.js: 3ms, application-code: 17ms)
 GET /student/applications 200 in 34ms (next.js: 18ms, application-code: 16ms)
 GET /student/skills 200 in 35ms (next.js: 17ms, application-code: 18ms)
 GET /student/settings 200 in 35ms (next.js: 18ms, application-code: 17ms)
 GET /student 200 in 18ms (next.js: 3ms, application-code: 14ms)
 GET /student/jobs 200 in 26ms (next.js: 3ms, application-code: 22ms)
 GET /student/applications 200 in 24ms (next.js: 3ms, application-code: 20ms)
 GET /student/skills 200 in 30ms (next.js: 3ms, application-code: 27ms)
 GET /student/jobs 200 in 22ms (next.js: 3ms, application-code: 19ms)
 GET /student 200 in 18ms (next.js: 3ms, application-code: 15ms)
 GET /student 200 in 89ms (next.js: 4ms, application-code: 85ms)
[?25h
